"line","projected_x","median_income"
"Red-a",0.,54507
"Red-a",0.21515264072288268,97344
"Red-a",0.346705925390483,101027
"Red-a",0.48660336789943365,70150
"Red-a",0.6676423012037587,59821
"Red-a",0.8646724428832898,100476
"Red-a",1.0269625082588458,75287
"Red-a",1.1340177758370977,83750
"Red-a",1.1549586824627598,83750
"Red-a",1.2113437042022932,83750
"Red-a",1.3467879349914196,117378
"Red-a",1.480328520156166,117378
"Red-a",1.6091111889283698,65273
"Red-a",1.7148438941977002,74215
"Red-a",1.8755952591778304,46576
"Red-a",1.9810839084419847,67042
"Red-a",2.083968900850386,73868
"Red-a",2.1415861785165595,73868
"Red-a",2.239025866489033,73868
"Red-a",2.291827359769618,122216
"Red-a",2.3536320518700156,121080
"Red-a",2.448396167603304,121080
"Red-a",2.5062882585690867,121080
"Red-a",2.562844660646481,37588
"Red-b",0.,54507
"Red-b",0.21515264072288268,97344
"Red-b",0.346705925390483,101027
"Red-b",0.48660336789943365,70150
"Red-b",0.6676423012037587,59821
"Red-b",0.8646724428832898,100476
"Red-b",1.0269625082588458,75287
"Red-b",1.1340177758370977,83750
"Red-b",1.1549586824627598,83750
"Red-b",1.2113437042022932,83750
"Red-b",1.3467879349914196,117378
"Red-b",1.480328520156166,117378
"Red-b",1.611926956695571,65273
"Red-b",2.1903323368463194,62188
"Red-b",2.3287876779402206,62188
"Red-b",2.5497587448991026,46852
"Red-b",2.7602200294393895,57202
"Red-b",3.0585033489420805,82784
"Blue",0.,112639
"Blue",0.03308830084773429,112639
"Blue",0.05373485052245795,112639
"Blue",0.11698688289744644,112639
"Blue",0.2858881629814048,52572
"Blue",0.4036489020420783,101875
"Blue",0.5097203104067201,101875
"Blue",0.7128031837434463,57454
"Blue",0.8027400922193724,57454
"Blue",0.8832492407458311,41635
"Blue",0.9986464958022347,45257
"Blue",1.0632055230147983,45257
"Orange",0.,67027
"Orange",0.11862374278155734,84007
"Orange",0.1997252624457963,68413
"Orange",0.28401747521323517,30819
"Orange",0.37673467787032977,34107
"Orange",0.46026006666810854,19395
"Orange",0.538309193023407,19395
"Orange",0.6517736426673981,102000
"Orange",0.7746906512831966,21712
"Orange",0.8153038909885012,83750
"Orange",0.8564441244293134,83750
"Orange",0.8986587024560995,112639
"Orange",0.941946386048989,112639
"Orange",0.987523421565258,79010
"Orange",1.113117159551998,123160
"Orange",1.2624791200004926,123160
"Orange",1.3488498060239067,100336
"Orange",1.4487678484310065,86031
"Orange",1.707757674230283,62226
"Orange",1.8346808255488016,76816
"Green-b",0.,112784
"Green-b",0.13668973662455997,79010
"Green-b",0.21373363471072698,79010
"Green-b",0.258741428627003,112639
"Green-b",0.2978253021522121,112639
"Green-b",0.34371314530573377,83750
"Green-b",0.45567246363785985,121553
"Green-b",0.5317312157900763,97988
"Green-b",0.6399382302253656,101117
"Green-b",0.7219836436979097,57500
"Green-b",0.7672224166014471,30717
"Green-b",0.813328182795531,30717
"Green-b",0.8551535540456496,30717
"Green-b",0.8551535540456496,44286
"Green-b",1.0242999843126213,32002
"Green-b",1.0242999843126213,44286
"Green-b",1.0242999843126213,44286
"Green-b",1.0393319754958656,32002
"Green-b",1.1020249048776845,32002
"Green-b",1.1411877942072615,50577
"Green-b",1.170204662539867,49600
"Green-b",1.2058064214136865,49600
"Green-b",1.2609910601065217,48676
"Green-b",1.3091902135659135,56522
"Green-b",1.3604113798356328,56522
"Green-b",1.3889584219074782,56522
"Green-b",1.4412203737755662,51652
"Green-b",1.5459889676208933,188333
"Green-c",0.,112784
"Green-c",0.13668973662455997,79010
"Green-c",0.21373363471072698,79010
"Green-c",0.258741428627003,112639
"Green-c",0.2978253021522121,112639
"Green-c",0.34371314530573377,83750
"Green-c",0.45567246363785985,121553
"Green-c",0.5317312157900763,97988
"Green-c",0.6399382302253656,101117
"Green-c",0.7219836436979097,57500
"Green-c",0.8497368598935595,97132
"Green-c",0.886234230881669,97132
"Green-c",0.9292062949199552,97132
"Green-c",1.0033602554308405,95278
"Green-c",1.0526327453296151,95278
"Green-c",1.0819722156462461,95278
"Green-c",1.1104957551290429,95278
"Green-c",1.1545661085379888,95278
"Green-c",1.1918755898985929,95278
"Green-c",1.2280950343880719,105230
"Green-c",1.267095411977379,105230
"Green-c",1.3048756191394477,51652
"Green-d",0.,112784
"Green-d",0.13668973662455997,79010
"Green-d",0.21373363471072698,79010
"Green-d",0.258741428627003,112639
"Green-d",0.2978253021522121,112639
"Green-d",0.34371314530573377,83750
"Green-d",0.45567246363785985,121553
"Green-d",0.5317312157900763,97988
"Green-d",0.6399382302253656,101117
"Green-d",0.7219836436979097,57500
"Green-d",0.8314998260263952,31196
"Green-d",0.8961662084330725,97132
"Green-d",1.0205990026072136,64797
"Green-d",1.1299691671944874,134792
"Green-d",1.2776750791511233,105230
"Green-d",1.3645756849795534,105230
"Green-d",1.5577974504070187,167232
"Green-d",1.8548754448571576,117569
"Green-d",2.009404507420817,164612
"Green-d",2.146012073662221,164612
"Green-d",2.315562803351901,184196
"Green-d",2.4610489806092066,184196
"Green-d",2.575970528936095,124280
"Green-e",0.,112784
"Green-e",0.13668973662455997,79010
"Green-e",0.21373363471072698,79010
"Green-e",0.258741428627003,112639
"Green-e",0.2978253021522121,112639
"Green-e",0.34371314530573377,83750
"Green-e",0.45567246363785985,121553
"Green-e",0.5317312157900763,97988
"Green-e",0.6019101813354936,97988
"Green-e",0.6658460659500962,19395
"Green-e",0.6963039958003011,19395
"Green-e",0.7674644289261345,19395
"Green-e",0.8172878257838964,22450
"Green-e",0.8625915236690564,50988
"Green-e",0.8840966670684068,20902
"Green-e",0.9270378218941804,20902
"Green-e",0.9550182991428198,41146
"Green-e",0.9826912259432448,41146
"Green-e",1.,85788
